iter	MultiClass
0	1.584024475
1	1.562790059
2	1.542352239
3	1.523878967
4	1.507745262
5	1.491864647
6	1.477325962
7	1.465346666
8	1.454827725
9	1.443714309
10	1.433792785
11	1.424581145
12	1.415884749
13	1.407083776
14	1.399692464
15	1.392734066
16	1.385568541
17	1.379169835
18	1.3734819
19	1.36841729
20	1.363871038
21	1.358813045
22	1.35435976
23	1.349981427
24	1.346087571
25	1.34221815
26	1.338642363
27	1.335241581
28	1.331610046
29	1.328841899
30	1.326315106
31	1.323492123
32	1.320805061
33	1.317849788
34	1.315379255
35	1.312407286
36	1.310228183
37	1.307922927
38	1.306202622
39	1.304505432
40	1.302671539
41	1.300948061
42	1.299624872
43	1.297544764
44	1.295809346
45	1.294131696
46	1.292188736
47	1.290601182
48	1.289239448
49	1.287618918
50	1.286375128
51	1.28539263
52	1.28399975
53	1.282118034
54	1.281047955
55	1.279788947
56	1.278608274
57	1.2772098
58	1.275942561
59	1.274595025
60	1.273287712
61	1.271992243
62	1.270993181
63	1.269404159
64	1.268566131
65	1.266777582
66	1.265926935
67	1.265325934
68	1.264101988
69	1.263286537
70	1.263238059
71	1.261992198
72	1.261013308
73	1.259874734
74	1.259122134
75	1.258147393
76	1.257111562
77	1.256264931
78	1.255475095
79	1.254102441
80	1.253302446
81	1.252411973
82	1.251368123
83	1.250710924
84	1.24985294
85	1.248706869
86	1.247786415
87	1.246516482
88	1.245881969
89	1.245412699
90	1.244639342
91	1.243669405
92	1.243003682
93	1.242866708
94	1.242116142
95	1.241306557
96	1.24073794
97	1.240062508
98	1.239042197
99	1.238445394
100	1.237768908
101	1.236705095
102	1.235474914
103	1.234477652
104	1.23395741
105	1.232944276
106	1.23208873
107	1.231535844
108	1.231127108
109	1.22993411
110	1.229251318
111	1.228397487
112	1.2279593
113	1.227550154
114	1.226829763
115	1.226351203
116	1.2258689
117	1.225491046
118	1.22497578
119	1.224578067
120	1.224563105
121	1.223750388
122	1.223049013
123	1.221721859
124	1.221152634
125	1.220899586
126	1.220343513
127	1.21969561
128	1.219154364
129	1.218221028
130	1.217705108
131	1.216879039
132	1.216100815
133	1.215184805
134	1.214292794
135	1.213789996
136	1.213337414
137	1.21272905
138	1.212150393
139	1.211354421
140	1.210965955
141	1.210347206
142	1.209982005
143	1.209310981
144	1.208699186
145	1.207912859
146	1.207169563
147	1.20625807
148	1.205561053
149	1.204576101
150	1.204122133
151	1.20327483
152	1.2029451
153	1.202607641
154	1.201567603
155	1.200623043
156	1.199985088
157	1.199407294
158	1.199023874
159	1.198397763
160	1.197700325
161	1.196865849
162	1.196104486
163	1.195550581
164	1.195273885
165	1.194260193
166	1.193811825
167	1.193368256
168	1.192891083
