iter	Passed	Remaining
0	28	57631
1	46	45996
2	61	40684
3	76	38411
4	93	37458
5	110	36688
6	127	36239
7	144	35919
8	164	36281
9	184	36727
10	202	36615
11	221	36622
12	241	36876
13	259	36875
14	279	36940
15	298	36968
16	335	39079
17	379	41740
18	408	42565
19	431	42678
20	454	42862
21	474	42640
22	497	42740
23	513	42237
24	530	41922
25	549	41694
26	564	41263
27	580	40884
28	597	40603
29	613	40283
30	629	39952
31	645	39675
32	662	39509
33	678	39251
34	696	39084
35	713	38899
36	729	38708
37	744	38462
38	760	38262
39	777	38112
40	794	37972
41	810	37771
42	827	37647
43	842	37449
44	859	37324
45	874	37158
46	891	37024
47	908	36932
48	923	36787
49	941	36702
50	957	36584
51	973	36460
52	989	36351
53	1006	36280
54	1025	36254
55	1041	36170
56	1059	36112
57	1076	36029
58	1093	35985
59	1111	35934
60	1130	35930
61	1150	35966
62	1169	35972
63	1188	35954
64	1207	35954
65	1225	35913
66	1242	35841
67	1260	35819
68	1279	35821
69	1301	35875
70	1304	35444
71	1322	35409
72	1338	35341
73	1356	35301
74	1374	35271
75	1392	35258
76	1416	35369
77	1436	35388
78	1455	35401
79	1475	35421
80	1493	35388
81	1510	35320
82	1529	35330
83	1547	35298
84	1564	35244
85	1582	35227
86	1599	35176
87	1615	35100
88	1631	35032
89	1648	34981
90	1665	34942
91	1682	34898
92	1700	34868
93	1707	34612
94	1723	34557
95	1742	34557
96	1761	34552
97	1779	34531
98	1797	34510
99	1813	34465
100	1831	34432
101	1848	34392
102	1865	34365
103	1884	34349
104	1902	34332
105	1919	34306
106	1942	34362
107	1959	34329
108	1976	34284
109	1992	34230
110	2007	34168
111	2024	34129
112	2041	34098
113	2057	34036
114	2073	33981
115	2088	33921
116	2104	33875
117	2119	33809
118	2135	33760
119	2152	33716
120	2156	33486
121	2171	33431
122	2187	33386
123	2204	33345
124	2220	33300
125	2236	33262
126	2265	33418
127	2281	33369
128	2296	33303
129	2311	33251
130	2327	33211
131	2342	33156
132	2357	33087
133	2372	33044
134	2389	33006
135	2404	32949
136	2418	32890
137	2433	32833
138	2449	32789
139	2465	32758
140	2479	32694
141	2494	32634
142	2508	32576
143	2523	32519
144	2538	32474
145	2554	32440
146	2570	32406
147	2586	32362
148	2602	32335
149	2619	32305
150	2635	32269
151	2651	32230
152	2665	32180
153	2681	32146
154	2698	32125
155	2714	32088
156	2730	32047
157	2746	32023
158	2761	31978
159	2777	31937
160	2792	31899
161	2809	31877
162	2825	31846
163	2843	31830
164	2861	31819
165	2878	31807
166	2896	31790
167	2915	31788
168	2933	31782
169	2959	31857
170	2977	31846
171	2994	31826
172	3011	31805
173	3029	31788
174	3043	31744
175	3059	31710
176	3074	31667
177	3090	31633
178	3107	31610
179	3122	31572
180	3139	31555
181	3155	31516
182	3170	31483
183	3185	31443
184	3202	31414
185	3217	31384
186	3233	31349
187	3249	31318
188	3265	31287
189	3281	31256
190	3300	31258
191	3319	31258
192	3338	31261
193	3358	31262
194	3377	31266
195	3396	31259
196	3414	31247
197	3430	31222
198	3449	31218
199	3465	31193
200	3482	31172
201	3499	31152
202	3519	31156
203	3540	31173
204	3558	31159
205	3575	31136
206	3591	31109
207	3609	31095
